input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE;1;5;0;10;55;500;1;0;1782046879502
MOUSE;1;5;0;10;55;500;2;0;1782046880088
MOUSE;1;5;0;10;55;500;3;0;1782046880863
MOUSE;1;5;0;10;55;500;4;0;1782046881483
MOUSE;1;5;0;10;55;500;5;0;1782046882022
MOUSE;1;5;0;10;55;500;6;0;1782046882712
MOUSE;1;5;0;10;55;500;7;0;1782046883350
MOUSE;1;5;0;10;55;500;8;0;1782046884090
MOUSE;1;5;0;10;55;500;9;0;1782046884728
MOUSE;1;5;0;10;55;500;10;0;1782046885416
MOUSE;2;5;0;10;55;500;1;1;1782046887958
MOUSE;2;5;0;10;55;500;2;0;1782046888597
MOUSE;2;5;0;10;55;500;3;0;1782046889151
MOUSE;2;5;0;10;55;500;4;0;1782046889942
MOUSE;2;5;0;10;55;500;5;0;1782046890597
MOUSE;2;5;0;10;55;500;6;0;1782046891184
MOUSE;2;5;0;10;55;500;7;0;1782046891822
MOUSE;2;5;0;10;55;500;8;0;1782046892479
MOUSE;2;5;0;10;55;500;9;0;1782046893153
MOUSE;2;5;0;10;55;500;10;1;1782046894128
MOUSE;3;5;0;10;55;500;1;0;1782046895513
MOUSE;3;5;0;10;55;500;2;0;1782046896231
MOUSE;3;5;0;10;55;500;3;0;1782046897019
MOUSE;3;5;0;10;55;500;4;0;1782046897559
MOUSE;3;5;0;10;55;500;5;0;1782046898297
MOUSE;3;5;0;10;55;500;6;0;1782046898935
MOUSE;3;5;0;10;55;500;7;0;1782046899504
MOUSE;3;5;0;10;55;500;8;0;1782046900159
MOUSE;3;5;0;10;55;500;9;0;1782046900727
MOUSE;3;5;0;10;55;500;10;0;1782046901348
