input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
PINCH;1;5;0;10;30;400;1;1;1782059212774
PINCH;1;5;0;10;30;400;2;0;1782059214438
PINCH;1;5;0;10;30;400;3;0;1782059216021
PINCH;1;5;0;10;30;400;4;1;1782059218478
PINCH;1;5;0;10;30;400;5;3;1782059231966
PINCH;1;5;0;10;30;400;6;1;1782059234808
PINCH;1;5;0;10;30;400;7;1;1782059237721
PINCH;1;5;0;10;30;400;8;0;1782059239641
PINCH;1;5;0;10;30;400;9;0;1782059241594
PINCH;1;5;0;10;30;400;10;0;1782059243833
PINCH;2;5;0;10;30;400;1;1;1782059251177
PINCH;2;5;0;10;30;400;2;0;1782059256235
PINCH;2;5;0;10;30;400;3;1;1782059258927
PINCH;2;5;0;10;30;400;4;0;1782059260778
PINCH;2;5;0;10;30;400;5;0;1782059262632
PINCH;2;5;0;10;30;400;6;1;1782059265038
PINCH;2;5;0;10;30;400;7;0;1782059266857
PINCH;2;5;0;10;30;400;8;0;1782059268742
PINCH;2;5;0;10;30;400;9;0;1782059271863
PINCH;2;5;0;10;30;400;10;0;1782059273732
PINCH;3;5;0;10;30;400;1;1;1782059281896
PINCH;3;5;0;10;30;400;2;0;1782059283632
PINCH;3;5;0;10;30;400;3;0;1782059285614
PINCH;3;5;0;10;30;400;4;0;1782059287410
PINCH;3;5;0;10;30;400;5;0;1782059289897
PINCH;3;5;0;10;30;400;6;0;1782059291697
PINCH;3;5;0;10;30;400;7;0;1782059293834
PINCH;3;5;0;10;30;400;8;0;1782059295296
PINCH;3;5;0;10;30;400;9;0;1782059297094
PINCH;3;5;0;10;30;400;10;0;1782059298809
