input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
TRACK_PAD;1;6;0;10;80;400;1;0;1782900677954
TRACK_PAD;1;6;0;10;80;400;2;0;1782900678793
TRACK_PAD;1;6;0;10;80;400;3;0;1782900679770
TRACK_PAD;1;6;0;10;80;400;4;0;1782900680694
TRACK_PAD;1;6;0;10;80;400;5;0;1782900681298
TRACK_PAD;1;6;0;10;80;400;6;0;1782900681937
TRACK_PAD;1;6;0;10;80;400;7;0;1782900682708
TRACK_PAD;1;6;0;10;80;400;8;0;1782900683934
TRACK_PAD;1;6;0;10;80;400;9;0;1782900684623
TRACK_PAD;1;6;0;10;80;400;10;0;1782900685496
TRACK_PAD;2;6;0;10;80;400;1;0;1782900687477
TRACK_PAD;2;6;0;10;80;400;2;0;1782900688213
TRACK_PAD;2;6;0;10;80;400;3;0;1782900688919
TRACK_PAD;2;6;0;10;80;400;4;0;1782900689609
TRACK_PAD;2;6;0;10;80;400;5;0;1782900690264
TRACK_PAD;2;6;0;10;80;400;6;0;1782900691036
TRACK_PAD;2;6;0;10;80;400;7;0;1782900691793
TRACK_PAD;2;6;0;10;80;400;8;0;1782900692618
TRACK_PAD;2;6;0;10;80;400;9;0;1782900693273
TRACK_PAD;2;6;0;10;80;400;10;0;1782900693943
TRACK_PAD;3;6;0;10;80;400;1;0;1782900695971
TRACK_PAD;3;6;0;10;80;400;2;0;1782900696523
TRACK_PAD;3;6;0;10;80;400;3;0;1782900697313
TRACK_PAD;3;6;0;10;80;400;4;0;1782900697972
TRACK_PAD;3;6;0;10;80;400;5;0;1782900698794
TRACK_PAD;3;6;0;10;80;400;6;0;1782900699516
TRACK_PAD;3;6;0;10;80;400;7;0;1782900700475
TRACK_PAD;3;6;0;10;80;400;8;0;1782900701111
TRACK_PAD;3;6;0;10;80;400;9;0;1782900701884
TRACK_PAD;3;6;0;10;80;400;10;0;1782900702643
