input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
WINK;1;5;0;10;55;300;1;0;1782060451821
WINK;1;5;0;10;55;300;2;0;1782060453166
WINK;1;5;0;10;55;300;3;0;1782060454226
WINK;1;5;0;10;55;300;4;0;1782060455303
WINK;1;5;0;10;55;300;5;0;1782060456351
WINK;1;5;0;10;55;300;6;0;1782060457274
WINK;1;5;0;10;55;300;7;0;1782060458489
WINK;1;5;0;10;55;300;8;0;1782060459619
WINK;1;5;0;10;55;300;9;0;1782060460735
WINK;1;5;0;10;55;300;10;0;1782060461961
WINK;2;5;0;10;55;300;1;0;1782060464773
WINK;2;5;0;10;55;300;2;0;1782060465884
WINK;2;5;0;10;55;300;3;0;1782060466894
WINK;2;5;0;10;55;300;4;0;1782060468085
WINK;2;5;0;10;55;300;5;0;1782060469090
WINK;2;5;0;10;55;300;6;0;1782060470149
WINK;2;5;0;10;55;300;7;0;1782060471343
WINK;2;5;0;10;55;300;8;0;1782060472676
WINK;2;5;0;10;55;300;9;0;1782060473468
WINK;2;5;0;10;55;300;10;0;1782060474566
WINK;3;5;0;10;55;300;1;0;1782060479215
WINK;3;5;0;10;55;300;2;0;1782060480222
WINK;3;5;0;10;55;300;3;1;1782060482210
WINK;3;5;0;10;55;300;4;0;1782060483272
WINK;3;5;0;10;55;300;5;0;1782060484437
WINK;3;5;0;10;55;300;6;0;1782060485497
WINK;3;5;0;10;55;300;7;0;1782060486763
WINK;3;5;0;10;55;300;8;1;1782060488093
WINK;3;5;0;10;55;300;9;0;1782060489545
WINK;3;5;0;10;55;300;10;0;1782060490824
