input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;5;0;800;110;575.0;538.0;0;1782325612672
MOUSE;1;5;0;800;110;589.0;538.0;0;1782325612687
MOUSE;1;5;0;800;110;608.0;537.0;0;1782325612704
MOUSE;1;5;0;800;110;644.0;534.0;0;1782325612720
MOUSE;1;5;0;800;110;663.0;532.0;0;1782325612738
MOUSE;1;5;0;800;110;695.0;527.0;0;1782325612754
MOUSE;1;5;0;800;110;734.0;524.0;0;1782325612771
MOUSE;1;5;0;800;110;767.0;524.0;0;1782325612787
MOUSE;1;5;0;800;110;794.0;524.0;0;1782325612805
MOUSE;1;5;0;800;110;824.0;524.0;0;1782325612821
MOUSE;1;5;0;800;110;872.0;524.0;0;1782325612838
MOUSE;1;5;0;800;110;910.0;524.0;0;1782325612854
MOUSE;1;5;0;800;110;954.0;524.0;0;1782325612872
MOUSE;1;5;0;800;110;999.0;524.0;0;1782325612888
MOUSE;1;5;0;800;110;1041.0;524.0;0;1782325612904
MOUSE;1;5;0;800;110;1066.0;524.0;0;1782325612921
MOUSE;1;5;0;800;110;1096.0;524.0;0;1782325612938
MOUSE;1;5;0;800;110;1125.0;524.0;0;1782325612954
MOUSE;1;5;0;800;110;1144.0;525.0;0;1782325612971
MOUSE;1;5;0;800;110;1163.0;526.0;0;1782325612988
MOUSE;1;5;0;800;110;1185.0;527.0;0;1782325613005
MOUSE;1;5;0;800;110;1211.0;527.0;0;1782325613022
MOUSE;1;5;0;800;110;1239.0;527.0;0;1782325613038
MOUSE;1;5;0;800;110;1268.0;527.0;0;1782325613055
MOUSE;1;5;0;800;110;1296.0;527.0;0;1782325613072
MOUSE;1;5;0;800;110;1333.0;525.0;0;1782325613089
MOUSE;1;5;0;800;110;1346.0;525.0;0;1782325613105
MOUSE;1;5;0;800;110;1358.0;525.0;0;1782325613121
MOUSE;2;5;0;800;110;587.0;540.0;0;1782325614537
MOUSE;2;5;0;800;110;613.0;540.0;0;1782325614551
MOUSE;2;5;0;800;110;640.0;540.0;0;1782325614568
MOUSE;2;5;0;800;110;660.0;540.0;0;1782325614584
MOUSE;2;5;0;800;110;677.0;539.0;0;1782325614601
MOUSE;2;5;0;800;110;700.0;538.0;0;1782325614618
MOUSE;2;5;0;800;110;722.0;538.0;0;1782325614635
MOUSE;2;5;0;800;110;739.0;538.0;0;1782325614651
MOUSE;2;5;0;800;110;769.0;538.0;0;1782325614668
MOUSE;2;5;0;800;110;795.0;538.0;0;1782325614685
MOUSE;2;5;0;800;110;820.0;538.0;0;1782325614701
MOUSE;2;5;0;800;110;850.0;538.0;0;1782325614718
MOUSE;2;5;0;800;110;883.0;538.0;0;1782325614735
MOUSE;2;5;0;800;110;918.0;540.0;0;1782325614751
MOUSE;2;5;0;800;110;948.0;541.0;0;1782325614768
MOUSE;2;5;0;800;110;976.0;541.0;0;1782325614784
MOUSE;2;5;0;800;110;1006.0;543.0;0;1782325614802
MOUSE;2;5;0;800;110;1041.0;543.0;0;1782325614818
MOUSE;2;5;0;800;110;1086.0;544.0;0;1782325614834
MOUSE;2;5;0;800;110;1134.0;544.0;0;1782325614852
MOUSE;2;5;0;800;110;1206.0;544.0;0;1782325614869
MOUSE;2;5;0;800;110;1235.0;544.0;0;1782325614886
MOUSE;2;5;0;800;110;1268.0;544.0;0;1782325614902
MOUSE;2;5;0;800;110;1295.0;544.0;0;1782325614920
MOUSE;2;5;0;800;110;1321.0;544.0;0;1782325614936
MOUSE;2;5;0;800;110;1348.0;544.0;0;1782325614953
MOUSE;3;5;0;800;110;574.0;531.0;0;1782325616496
MOUSE;3;5;0;800;110;601.0;531.0;0;1782325616511
MOUSE;3;5;0;800;110;633.0;531.0;0;1782325616527
MOUSE;3;5;0;800;110;658.0;531.0;0;1782325616544
MOUSE;3;5;0;800;110;681.0;531.0;0;1782325616561
MOUSE;3;5;0;800;110;708.0;531.0;0;1782325616578
MOUSE;3;5;0;800;110;728.0;531.0;0;1782325616594
MOUSE;3;5;0;800;110;746.0;532.0;0;1782325616611
MOUSE;3;5;0;800;110;768.0;532.0;0;1782325616627
MOUSE;3;5;0;800;110;793.0;532.0;0;1782325616645
MOUSE;3;5;0;800;110;815.0;531.0;0;1782325616662
MOUSE;3;5;0;800;110;863.0;531.0;0;1782325616678
MOUSE;3;5;0;800;110;902.0;531.0;0;1782325616695
MOUSE;3;5;0;800;110;943.0;531.0;0;1782325616712
MOUSE;3;5;0;800;110;979.0;531.0;0;1782325616729
MOUSE;3;5;0;800;110;1012.0;532.0;0;1782325616745
MOUSE;3;5;0;800;110;1050.0;534.0;0;1782325616762
MOUSE;3;5;0;800;110;1080.0;534.0;0;1782325616779
MOUSE;3;5;0;800;110;1112.0;534.0;0;1782325616795
MOUSE;3;5;0;800;110;1142.0;534.0;0;1782325616811
MOUSE;3;5;0;800;110;1166.0;534.0;0;1782325616828
MOUSE;3;5;0;800;110;1193.0;534.0;0;1782325616845
MOUSE;3;5;0;800;110;1220.0;534.0;0;1782325616862
MOUSE;3;5;0;800;110;1251.0;534.0;0;1782325616879
MOUSE;3;5;0;800;110;1287.0;534.0;0;1782325616895
MOUSE;3;5;0;800;110;1322.0;534.0;0;1782325616912
MOUSE;3;5;0;800;110;1357.0;534.0;0;1782325616929
