input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
PINCH;1;8502;0;500;50;711.0;541.0;1;1782750691028
PINCH;1;8502;0;500;50;711.0;541.0;1;1782750691042
PINCH;1;8502;0;500;50;711.0;541.0;1;1782750691060
PINCH;1;8502;0;500;50;720.0;539.0;0;1782750691077
PINCH;1;8502;0;500;50;720.0;539.0;0;1782750691095
PINCH;1;8502;0;500;50;720.0;539.0;0;1782750691111
PINCH;1;8502;0;500;50;720.0;539.0;0;1782750691128
PINCH;1;8502;0;500;50;724.0;540.0;0;1782750691145
PINCH;1;8502;0;500;50;724.0;540.0;0;1782750691162
PINCH;1;8502;0;500;50;724.0;540.0;0;1782750691179
PINCH;1;8502;0;500;50;724.0;540.0;0;1782750691196
PINCH;1;8502;0;500;50;734.0;541.0;1;1782750691213
PINCH;1;8502;0;500;50;734.0;541.0;1;1782750691229
PINCH;1;8502;0;500;50;734.0;541.0;1;1782750691247
PINCH;1;8502;0;500;50;734.0;541.0;1;1782750691263
PINCH;1;8502;0;500;50;745.0;539.0;0;1782750691280
PINCH;1;8502;0;500;50;745.0;539.0;0;1782750691297
PINCH;1;8502;0;500;50;745.0;539.0;0;1782750691314
PINCH;1;8502;0;500;50;762.0;544.0;1;1782750691331
PINCH;1;8502;0;500;50;762.0;544.0;1;1782750691347
PINCH;1;8502;0;500;50;762.0;544.0;1;1782750691365
PINCH;1;8502;0;500;50;762.0;544.0;1;1782750691381
PINCH;1;8502;0;500;50;762.0;544.0;1;1782750691397
PINCH;1;8502;0;500;50;771.0;547.0;1;1782750691414
PINCH;1;8502;0;500;50;771.0;547.0;1;1782750691431
PINCH;1;8502;0;500;50;771.0;547.0;1;1782750691447
PINCH;1;8502;0;500;50;771.0;547.0;1;1782750691464
PINCH;1;8502;0;500;50;780.0;549.0;1;1782750691481
PINCH;1;8502;0;500;50;780.0;549.0;1;1782750691497
PINCH;1;8502;0;500;50;780.0;549.0;1;1782750691515
PINCH;1;8502;0;500;50;780.0;549.0;1;1782750691531
PINCH;1;8502;0;500;50;781.0;554.0;1;1782750691548
PINCH;1;8502;0;500;50;781.0;554.0;1;1782750691565
PINCH;1;8502;0;500;50;781.0;554.0;1;1782750691581
PINCH;1;8502;0;500;50;781.0;554.0;1;1782750691598
PINCH;1;8502;0;500;50;780.0;559.0;1;1782750691615
PINCH;1;8502;0;500;50;780.0;559.0;1;1782750691631
PINCH;1;8502;0;500;50;780.0;559.0;1;1782750691648
PINCH;1;8502;0;500;50;789.0;553.0;1;1782750691665
PINCH;1;8502;0;500;50;789.0;553.0;1;1782750691683
PINCH;1;8502;0;500;50;789.0;553.0;1;1782750691699
PINCH;1;8502;0;500;50;789.0;553.0;1;1782750691715
PINCH;1;8502;0;500;50;797.0;548.0;1;1782750691732
PINCH;1;8502;0;500;50;797.0;548.0;1;1782750691750
PINCH;1;8502;0;500;50;797.0;548.0;1;1782750691766
PINCH;1;8502;0;500;50;797.0;548.0;1;1782750691783
PINCH;1;8502;0;500;50;806.0;545.0;1;1782750691800
PINCH;1;8502;0;500;50;806.0;545.0;1;1782750691816
PINCH;1;8502;0;500;50;806.0;545.0;1;1782750691832
PINCH;1;8502;0;500;50;806.0;545.0;1;1782750691849
PINCH;1;8502;0;500;50;806.0;545.0;1;1782750691866
PINCH;1;8502;0;500;50;821.0;545.0;1;1782750691884
PINCH;1;8502;0;500;50;821.0;545.0;1;1782750691901
PINCH;1;8502;0;500;50;821.0;545.0;1;1782750691917
PINCH;1;8502;0;500;50;841.0;545.0;1;1782750691934
PINCH;1;8502;0;500;50;841.0;545.0;1;1782750691951
PINCH;1;8502;0;500;50;841.0;545.0;1;1782750691967
PINCH;1;8502;0;500;50;841.0;545.0;1;1782750691984
PINCH;1;8502;0;500;50;858.0;543.0;1;1782750692001
