input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
WINK;1;8502;0;800;110;579.0;545.0;0;1782750836626
WINK;1;8502;0;800;110;579.0;545.0;0;1782750836642
WINK;1;8502;0;800;110;579.0;545.0;0;1782750836658
WINK;1;8502;0;800;110;579.0;545.0;0;1782750836676
WINK;1;8502;0;800;110;678.0;535.0;0;1782750836691
WINK;1;8502;0;800;110;678.0;535.0;0;1782750836709
WINK;1;8502;0;800;110;678.0;535.0;0;1782750836725
WINK;1;8502;0;800;110;678.0;535.0;0;1782750836742
WINK;1;8502;0;800;110;783.0;520.0;0;1782750836759
WINK;1;8502;0;800;110;783.0;520.0;0;1782750836776
WINK;1;8502;0;800;110;783.0;520.0;0;1782750836793
WINK;1;8502;0;800;110;907.0;527.0;0;1782750836810
WINK;1;8502;0;800;110;907.0;527.0;0;1782750836827
WINK;1;8502;0;800;110;907.0;527.0;0;1782750836844
WINK;1;8502;0;800;110;907.0;527.0;0;1782750836861
WINK;1;8502;0;800;110;1046.0;514.0;0;1782750836877
WINK;1;8502;0;800;110;1046.0;514.0;0;1782750836894
WINK;1;8502;0;800;110;1046.0;514.0;0;1782750836911
WINK;1;8502;0;800;110;1046.0;514.0;0;1782750836928
WINK;1;8502;0;800;110;1188.0;506.0;0;1782750836944
WINK;1;8502;0;800;110;1188.0;506.0;0;1782750836962
WINK;1;8502;0;800;110;1188.0;506.0;0;1782750836978
WINK;1;8502;0;800;110;1188.0;506.0;0;1782750836995
WINK;1;8502;0;800;110;1319.0;480.0;0;1782750837013
WINK;1;8502;0;800;110;1319.0;480.0;0;1782750837028
WINK;1;8502;0;800;110;1319.0;480.0;0;1782750837045
WINK;1;8502;0;800;110;1319.0;480.0;0;1782750837062
WINK;1;8502;0;800;110;1319.0;480.0;0;1782750837079
WINK;2;8502;0;800;110;568.0;547.0;0;1782750839015
WINK;2;8502;0;800;110;568.0;547.0;0;1782750839030
WINK;2;8502;0;800;110;568.0;547.0;0;1782750839048
WINK;2;8502;0;800;110;568.0;547.0;0;1782750839064
WINK;2;8502;0;800;110;645.0;532.0;0;1782750839080
WINK;2;8502;0;800;110;645.0;532.0;0;1782750839097
WINK;2;8502;0;800;110;645.0;532.0;0;1782750839113
WINK;2;8502;0;800;110;702.0;545.0;0;1782750839130
WINK;2;8502;0;800;110;702.0;545.0;0;1782750839147
WINK;2;8502;0;800;110;702.0;545.0;0;1782750839164
WINK;2;8502;0;800;110;702.0;545.0;0;1782750839181
WINK;2;8502;0;800;110;702.0;545.0;0;1782750839198
WINK;2;8502;0;800;110;789.0;541.0;0;1782750839215
WINK;2;8502;0;800;110;789.0;541.0;0;1782750839231
WINK;2;8502;0;800;110;789.0;541.0;0;1782750839248
WINK;2;8502;0;800;110;789.0;541.0;0;1782750839265
WINK;2;8502;0;800;110;887.0;559.0;0;1782750839282
WINK;2;8502;0;800;110;887.0;559.0;0;1782750839299
WINK;2;8502;0;800;110;887.0;559.0;0;1782750839316
WINK;2;8502;0;800;110;887.0;559.0;0;1782750839332
WINK;2;8502;0;800;110;995.0;561.0;0;1782750839349
WINK;2;8502;0;800;110;995.0;561.0;0;1782750839367
WINK;2;8502;0;800;110;995.0;561.0;0;1782750839383
WINK;2;8502;0;800;110;995.0;561.0;0;1782750839401
WINK;2;8502;0;800;110;1115.0;573.0;1;1782750839417
WINK;2;8502;0;800;110;1115.0;573.0;1;1782750839434
WINK;2;8502;0;800;110;1115.0;573.0;1;1782750839450
WINK;2;8502;0;800;110;1254.0;573.0;1;1782750839467
WINK;2;8502;0;800;110;1254.0;573.0;1;1782750839484
WINK;2;8502;0;800;110;1254.0;573.0;1;1782750839501
WINK;2;8502;0;800;110;1254.0;573.0;1;1782750839518
WINK;2;8502;0;800;110;1264.0;52.0;1;1782750839535
WINK;2;8502;0;800;110;1264.0;52.0;1;1782750839552
WINK;2;8502;0;800;110;1264.0;52.0;1;1782750839568
WINK;2;8502;0;800;110;1264.0;52.0;1;1782750839584
WINK;2;8502;0;800;110;1264.0;52.0;1;1782750839602
WINK;2;8502;0;800;110;1519.0;519.0;0;1782750839618
WINK;2;8502;0;800;110;1519.0;519.0;0;1782750839636
WINK;2;8502;0;800;110;1519.0;519.0;0;1782750839652
WINK;2;8502;0;800;110;1519.0;519.0;0;1782750839669
WINK;2;8502;0;800;110;1653.0;511.0;0;1782750839685
WINK;2;8502;0;800;110;1653.0;511.0;0;1782750839703
WINK;2;8502;0;800;110;1653.0;511.0;0;1782750839719
WINK;2;8502;0;800;110;1653.0;511.0;0;1782750839736
WINK;2;8502;0;800;110;1734.0;496.0;0;1782750839752
WINK;2;8502;0;800;110;1734.0;496.0;0;1782750839769
WINK;2;8502;0;800;110;1734.0;496.0;0;1782750839786
WINK;2;8502;0;800;110;1768.0;484.0;0;1782750839804
WINK;2;8502;0;800;110;1768.0;484.0;0;1782750839820
WINK;2;8502;0;800;110;1768.0;484.0;0;1782750839836
WINK;2;8502;0;800;110;1768.0;484.0;0;1782750839853
WINK;2;8502;0;800;110;1753.0;488.0;0;1782750839870
WINK;2;8502;0;800;110;1753.0;488.0;0;1782750839887
WINK;2;8502;0;800;110;1753.0;488.0;0;1782750839904
WINK;2;8502;0;800;110;1753.0;488.0;0;1782750839921
WINK;2;8502;0;800;110;1703.0;498.0;0;1782750839937
WINK;2;8502;0;800;110;1703.0;498.0;0;1782750839955
WINK;2;8502;0;800;110;1703.0;498.0;0;1782750839971
WINK;2;8502;0;800;110;1703.0;498.0;0;1782750839988
WINK;2;8502;0;800;110;1630.0;518.0;0;1782750840004
WINK;2;8502;0;800;110;1630.0;518.0;0;1782750840022
WINK;2;8502;0;800;110;1630.0;518.0;0;1782750840039
WINK;2;8502;0;800;110;1630.0;518.0;0;1782750840055
WINK;2;8502;0;800;110;1630.0;518.0;0;1782750840071
WINK;2;8502;0;800;110;1536.0;526.0;0;1782750840088
WINK;2;8502;0;800;110;1536.0;526.0;0;1782750840106
WINK;2;8502;0;800;110;1536.0;526.0;0;1782750840122
WINK;2;8502;0;800;110;1536.0;526.0;0;1782750840139
WINK;3;8502;0;800;110;583.0;500.0;0;1782750842078
WINK;3;8502;0;800;110;583.0;500.0;0;1782750842093
WINK;3;8502;0;800;110;583.0;500.0;0;1782750842110
WINK;3;8502;0;800;110;616.0;499.0;0;1782750842127
WINK;3;8502;0;800;110;616.0;499.0;0;1782750842143
WINK;3;8502;0;800;110;616.0;499.0;0;1782750842161
WINK;3;8502;0;800;110;616.0;499.0;0;1782750842177
WINK;3;8502;0;800;110;616.0;499.0;0;1782750842194
WINK;3;8502;0;800;110;657.0;500.0;0;1782750842210
WINK;3;8502;0;800;110;657.0;500.0;0;1782750842228
WINK;3;8502;0;800;110;657.0;500.0;0;1782750842244
WINK;3;8502;0;800;110;657.0;500.0;0;1782750842262
WINK;3;8502;0;800;110;703.0;523.0;0;1782750842278
WINK;3;8502;0;800;110;703.0;523.0;0;1782750842295
WINK;3;8502;0;800;110;703.0;523.0;0;1782750842311
WINK;3;8502;0;800;110;703.0;523.0;0;1782750842328
WINK;3;8502;0;800;110;784.0;501.0;0;1782750842344
WINK;3;8502;0;800;110;784.0;501.0;0;1782750842362
WINK;3;8502;0;800;110;784.0;501.0;0;1782750842379
WINK;3;8502;0;800;110;784.0;501.0;0;1782750842396
WINK;3;8502;0;800;110;856.0;495.0;0;1782750842413
WINK;3;8502;0;800;110;856.0;495.0;0;1782750842429
